                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1822,                 12.963,                 1.4876,                0.79412,                0.54749,                0.62257,                0.26989,                 1.8634,                 1.3969,                 1.2534,               0.070435,               0.003285,               0.003285
                      1,                  1.813,                 1.3477,                 1.1446,                0.82811,                0.62907,                0.70265,                0.31882,                 1.7845,                 1.0898,                 1.1616,               0.040173,              0.0063563,              0.0063563
                      2,                 1.8501,                 1.3677,                   1.15,                 0.7677,                0.61921,                0.67497,                 0.2979,                 1.7444,                 3.3659,                 1.1866,              0.0096466,              0.0091635,              0.0091635
                      3,                 1.8564,                 1.2631,                 1.1204,                0.80796,                0.64226,                0.70152,                0.30093,                 1.8227,                 1.1518,                 1.1814,               0.008812,               0.008812,               0.008812
                      4,                 1.8245,                 1.1666,                 1.1086,                0.80166,                0.65864,                0.71804,                 0.3222,                 1.7532,                 1.1251,                 1.1421,               0.008812,               0.008812,               0.008812
                      5,                 1.7849,                 1.0435,                 1.1114,                0.84837,                 0.6771,                0.75209,                0.34415,                 1.7449,                 1.0534,                 1.1175,               0.008416,               0.008416,               0.008416
                      6,                 1.7615,                  1.002,                 1.0815,                0.80769,                0.72221,                 0.7506,                0.35615,                 1.6956,                 1.0277,                 1.1047,                0.00802,                0.00802,                0.00802
                      7,                 1.7565,                 1.0268,                 1.0855,                0.82404,                0.65523,                0.73854,                0.35404,                 1.6832,                0.99847,                 1.1061,               0.007624,               0.007624,               0.007624
                      8,                 1.7072,                0.95232,                 1.0858,                0.81782,                0.69297,                0.74838,                 0.3525,                 1.6668,                 1.0169,                 1.1012,               0.007228,               0.007228,               0.007228
                      9,                 1.6851,                0.94684,                 1.0629,                 0.8544,                0.71967,                0.78494,                0.37413,                  1.685,                0.93347,                 1.0993,               0.006832,               0.006832,               0.006832
                     10,                 1.6739,                0.90687,                  1.054,                0.85839,                0.73585,                0.79425,                0.38799,                 1.6139,                0.98769,                 1.0635,               0.006436,               0.006436,               0.006436
                     11,                 1.6641,                0.91473,                  1.043,                0.87325,                0.75338,                0.80368,                0.40201,                 1.5824,                0.89391,                 1.0533,                0.00604,                0.00604,                0.00604
                     12,                 1.6427,                0.86111,                 1.0416,                0.88662,                 0.7723,                0.82368,                0.40996,                 1.5495,                 0.8387,                 1.0526,               0.005644,               0.005644,               0.005644
                     13,                 1.5836,                0.82939,                 1.0279,                0.89743,                0.78041,                0.83818,                0.42637,                 1.5317,                0.77703,                 1.0544,               0.005248,               0.005248,               0.005248
                     14,                 1.5738,                0.81316,                 1.0224,                0.88819,                0.79545,                 0.8395,                0.41321,                 1.5296,                 0.8513,                 1.0461,               0.004852,               0.004852,               0.004852
                     15,                 1.5939,                0.83853,                 1.0588,                0.86671,                0.76072,                0.82738,                0.42568,                 1.5341,                0.80912,                 1.0462,               0.004456,               0.004456,               0.004456
                     16,                 1.5723,                0.82043,                 1.0455,                0.87286,                0.79503,                0.83952,                0.43903,                 1.5108,                0.76152,                  1.035,                0.00406,                0.00406,                0.00406
                     17,                 1.5695,                0.79042,                  1.044,                0.87398,                0.77916,                0.83682,                0.44279,                  1.508,                0.77411,                 1.0344,               0.003664,               0.003664,               0.003664
                     18,                 1.5146,                0.77589,                 1.0354,                0.87775,                0.82209,                0.86352,                0.45452,                 1.4634,                0.72645,                 1.0288,               0.003268,               0.003268,               0.003268
                     19,                 1.4983,                 0.7672,                  1.032,                0.90452,                0.81243,                0.86834,                0.46322,                 1.4646,                0.70617,                 1.0317,               0.002872,               0.002872,               0.002872
                     20,                 1.4948,                0.74019,                 1.0361,                0.91031,                 0.8169,                0.86646,                0.47584,                 1.4095,                0.70063,                 1.0204,               0.002476,               0.002476,               0.002476
                     21,                 1.4714,                 0.7186,                 1.0194,                0.90631,                0.80476,                0.86703,                0.47332,                 1.4169,                0.68247,                 1.0131,                0.00208,                0.00208,                0.00208
                     22,                 1.4428,                0.71217,                 1.0056,                0.89847,                 0.8199,                0.87795,                0.48751,                 1.3936,                0.67859,                 1.0063,               0.001684,               0.001684,               0.001684
                     23,                  1.417,                0.68159,                 1.0024,                0.90291,                0.83619,                0.88504,                0.50265,                 1.3468,                0.63624,                0.99358,               0.001288,               0.001288,               0.001288
                     24,                 1.3992,                0.66554,                0.98435,                0.91491,                0.82989,                0.88787,                0.50879,                 1.3174,                0.62677,                0.98158,               0.000892,               0.000892,               0.000892
